0,24929,347700
0.0001,24886,347697
0.0004,24821,347658
0.0009,24705,347598
0.0016,24494,347361
0.0025,24237,346866
0.0036,23694,344430
0.0049,22914,340071
0.0064,22078,333846
0.0081,21245,327945
0.01,19726,315150
0.0121,18337,302301
0.0144,17281,291771
0.0169,15906,274869
0.0196,14459,258282
0.0225,13130,242964
0.0256,11361,218703
0.0289,10299,203190
0.0324,8761,178041
0.0361,7649,160347
0.04,6264,136290
0.0441,5532,121959
0.0484,4705,105543
0.0529,3775,85563
0.0576,3165,71991
0.0625,2358,53709
0.0676,1973,44598
0.0729,1598,35667
0.0784,1325,28575
0.0841,995,19995
0.09,638,10947
0.0961,447,6507
0.1024,288,3492
0.1089,160,1482
0.1156,44,171
0.1225,20,36
0.1296,10,6
0.1369,3,0
0.1444,0,0
0.1521,0,0
0.16,0,0
0.1681,0,0
0.1764,0,0
0.1849,0,0
0.1936,0,0
0.2025,0,0
0.2116,0,0
0.2209,0,0
0.2304,0,0
0.2401,0,0
0.25,0,0
0.2601,0,0
0.2704,0,0
0.2809,0,0
0.2916,0,0
0.3025,0,0
0.3136,0,0
0.3249,0,0
0.3364,0,0
0.3481,0,0
0.36,0,0
0.3721,0,0
0.3844,0,0
0.3969,0,0
0.4096,0,0
0.4225,0,0
0.4356,0,0
0.4489,0,0
0.4624,0,0
0.4761,0,0
0.49,0,0
0.5041,0,0
0.5184,0,0
0.5329,0,0
0.5476,0,0
0.5625,0,0
0.5776,0,0
0.5929,0,0
0.6084,0,0
0.6241,0,0
0.64,0,0
0.6561,0,0
0.6724,0,0
0.6889,0,0
0.7056,0,0
0.7225,0,0
0.7396,0,0
0.7569,0,0
0.7744,0,0
0.7921,0,0
0.81,0,0
0.8281,0,0
0.8464,0,0
0.8649,0,0
0.8836,0,0
0.9025,0,0
0.9216,0,0
0.9409,0,0
0.9604,0,0
0.9801,0,0
1.0,0,0
